項次,縣市別代碼,行政區,公園名稱,位置
1,63000,士 林,士林官邸,"中山北路5段378巷以北,福林路、中山北路交叉口右側(士林官邸)"
2,63000,士 林,天和1號.天和,天母東路69巷前(陽明所)、天母東路69巷口(園藝所)
3,63000,士 林,天壽,中山北路6段405巷右側.
4,63000,士 林,外雙溪,至善路2段284巷19號.
5,63000,士 林,仰德1號,仰德大道1段2-1號.
6,63000,士 林,仰德2號,仰德大道1段2-2號.
7,63000,士 林,名山,至誠路1段215號旁(雨農橋附近)
8,63000,士 林,至善,福林路、至善路口東北側.
9,63000,士 林,至誠,至誠路1段24號對面.
10,63000,士 林,至德園,至善路2段113巷.
11,63000,士 林,克強,磺溪街55巷(克強游泳池).
12,63000,士 林,志成,中正路與志成街交叉口.
13,63000,士 林,忠誠,中山北路6段與忠誠路1段交叉口.
14,63000,士 林,承德,大南路138號對面.
15,63000,士 林,明勝,通河街76巷8弄(原中山244號公園)、承德路4段6巷56號旁
16,63000,士 林,東和,中山北路7段114巷旁.
17,63000,士 林,社子,永平街20巷11弄3號對面.
18,63000,士 林,社正,中正路與重慶北路4段交叉口.
19,63000,士 林,芝山,至誠路1段與雨聲街交叉口.
20,63000,士 林,前山３號,陽明路1段34號附近(陽明山管理所後).
21,63000,士 林,前港,華齡街與前港街交叉口(百齡國小對面).
22,63000,士 林,後港,承德路5段78號(度量衡檢定所)旁.
23,63000,士 林,美崙,美崙街152巷(台北市立天文台天文科學館).
24,63000,士 林,原住民文化主題,至善路2段221號.
25,63000,士 林,海光,環河北路3段與葫蘆街交口(葫蘆國小前).
26,63000,士 林,基河,中山北路4段通河街交叉口、基河路14號對面
27,63000,士 林,華聲,華聲街20號對面.
28,63000,士 林,福中,"福港街107巷,百齡國小附近."
29,63000,士 林,福志,忠勇街40巷20弄底.
30,63000,士 林,福林,中山北路與福林路交叉口.
31,63000,士 林,福華,通河街325巷北側.
32,63000,士 林,福順,延平北路5段136巷(原葫蘆公園)
33,63000,士 林,翠山,中央社區翠山街與中社路2段口.
34,63000,士 林,德行,忠誠路、中山北路6段交叉口西側，德行西路30號仰德活動中心旁.
35,63000,士 林,衛理,衛理女中宿舍邊.(原為衛理公園)
36,63000,士 林,雙溪,福林路、至善路口東南側.
37,63000,士 林,蘭雅,忠誠路2段24號旁.
