行政區,地址-行政區域代碼,分隊,市話,各分隊收運轄區里,預約時間
南港區,63000090,玉成分隊,(02)27881921,聯成里、合成里、新光里、成福里、萬福里、鴻福里、百福里、仁福里,早上06:00至下午04:30
南港區,63000090,南港分隊,(02)27837522,南港里、玉成里、西新里、東新里、東明里、三重里、重陽里,早上06:00至下午04:30
南港區,63000090,舊莊分隊,(02)27825421,舊莊里、新富里、九如里、中南里、中研里,早上06:00至下午04:30
信義區,63000020,三張犁分隊,(02)27493261,西村里、正和里、興隆里、中興里、新仁里、興雅里、敦厚里、廣居里、安康里,早上06:00至下午04:30
信義區,63000020,五分埔分隊,(02)27534330,六藝里、五常里、永吉里、四育里、永春里、雅祥里、五全里、長春里、四維里、富台里 ,早上06:00至下午04:30
信義區,63000020,六張犁分隊,(02)27200326,景聯里、雙和里、景勤里、嘉興里、黎平里、黎安里、黎順里、黎忠里 ,早上06:00至下午04:30
信義區,63000020,吳興分隊,(02)27209037,景新里、三張里、六合里、惠安里、三犁里、泰和里 ,早上06:00至下午04:30
信義區,63000020,福德分隊,(02)27276061,國業里、松友里、中坡里、大仁里、松隆里、松光里、中行里、大道里 ,早上06:00至下午04:30
大安區,63000030,台大分隊,(02)23633215,學府里、大學里、龍淵里、古風里、龍門里,早上06:00至下午04:30
大安區,63000030,瑞安分隊,(02)23634850,仁慈里、德安里、龍陣里、新龍里、龍雲里、住安里、龍生里、龍圖里,早上06:00至下午04:30
大安區,63000030,和平分隊,(02)23625869,錦泰里、錦華里、龍安里、龍坡里、龍泉里、福住里、永康里、古莊里、錦安里、光明里,早上06:00至下午04:30
大安區,63000030,臥龍分隊,(02)23785530,群英里、群賢里、黎孝里、黎和里、黎元里、芳和里、虎嘯里、臥龍里,早上06:00至下午04:30
大安區,63000030,安和分隊,(02)27374644,通化里、通安里、敦煌里、敦安里、法治里、義安里、全安里、光信里、臨江里,早上06:00至下午04:30
大安區,63000030,新生分隊,(02)27529383,誠安里、昌隆里、民輝里、民炤里、和安里、義村里,早上06:00至下午04:30
大安區,63000030,敦化分隊,(02)27786724,光武里、仁愛里、建倫里、建安里、車層里、正聲里、華聲里           ,早上06:00至下午04:30
