報名類別,業者名稱,營業場所地址,評核結果,認證有效日期
浴室業,中國青年救國團臺北市中山運動中心,臺北市中山區中山北路2段44巷2號,優,20271231
浴室業,咖啡櫻有限公司,臺北市北投區洲美街271號,優,20271231
浴室業,駿斯運動事業股份有限公司松山國小分公司,臺北市松山區八德路4段746號,優,20271231
浴室業,全越運動事業股份有限公司信義運動中心,臺北市信義區松勤街100號 ,優,20271231
浴室業,樂霏翔有限公司,臺北市南港區舊莊街1段290巷32號,優,20271231
浴室業,開泰豐國際股份有限公司(台北文華東方酒店),臺北市松山區敦化北路158號,特優,20281231
浴室業,香港商世界健身事業有限公司忠孝分公司,臺北市大安區忠孝東路4段201號3樓,特優,20281231
浴室業,公務人力發展學院福華國際文教會館,臺北市大安區新生南路3段30號B1樓,特優,20281231
浴室業,匯陽百貨事業股份有限公司松山運動中心分公司,臺北市松山區敦化北路1號,優,20281231
浴室業,京庚健康世界股份有限公司民生分公司,臺北市松山區民生東路3段156號B1樓,優,20281231
浴室業,溫莎興業有限公司(喜都三溫暖),臺北市松山區南京東路5段38號B1樓,優,20281231
浴室業,香港商世界健身事業有限公司台北松仁分公司,臺北市信義區松仁路277號,優,20281231
浴室業,時代國際飯店股份有限公司,臺北市信義區忠孝東路5段10號,優,20281231
浴室業,臺北市大安運動中心,臺北市大安區辛亥路3段55號,優,20281231
浴室業,香格里拉台北遠東國際大飯店,臺北市大安區敦化南路2段201號,優,20281231
浴室業,大倉久和大飯店,臺北市中山區南京東路1段9號,優,20281231
浴室業,香港商世界健身事業有限公司台北長春分公司,臺北市中山區長春路90號,優,20281231
浴室業,美麗信酒店股份有限公司,臺北市中山區市民大道3段83號,優,20281231
浴室業,全越運動事業股份有限公司,臺北市中山區建國北路3段39號,優,20281231
浴室業,香港商世界健身事業有限公司公館分公司,臺北市中正區羅斯福路4段68號2樓,優,20281231
浴室業,舞動陽光股份有限公司中正營業所,臺北市中正區信義路1段1號,優,20281231
浴室業,寒舍餐旅管理顧問股份有限公司,臺北市中正區忠孝東路1段12號17樓,優,20281231
浴室業,天龍興業股份有限公司,臺北市大同區重慶北路1段73號9樓,優,20281231
浴室業,舞動陽光股份有限公司大同分公司,臺北市大同區大龍街51號,優,20281231
浴室業,臺北市政府環境保護局內湖垃圾焚化廠,臺北市內湖區安康路228巷20號,優,20281231
浴室業,香港商世界健身事業有限公司內湖民權分公司,臺北市內湖區民權東路6段180巷6號B2樓,優,20281231
浴室業,Oovi無比親子同樂館,臺北市內湖區成功路5段420巷28號1樓(水療池區),優,20281231
浴室業,中國青年救國團臺北市內湖運動中心,臺北市內湖區洲子街12號,優,20281231
浴室業,水貝比企業有限公司,臺北市內湖區文德路155號,優,20281231
浴室業,香港商世界健身事業有限公司內湖港墘分公司,臺北市內湖區港墘里港墘路221巷33號2-4樓,優,20281231
浴室業,臺北市士林運動中心,臺北市士林區士商路1號,優,20281231
浴室業,天母國際聯誼會,臺北市士林區中山北路6段88號B1、B2,優,20281231
浴室業,香港商世界健身事業有限公司天母德行分公司,臺北市士林區德行東路331巷35號B1-2樓,優,20281231
浴室業,馬槽花藝商行,臺北市士林區竹子湖路251巷20號,優,20281231
浴室業,東皇企業股份有限公司,臺北市北投區溫泉路108號,優,20281231
浴室業,展昭國際企業股份有限公司國立臺北護理健康大學水療中心,臺北市北投區明德路365號,優,20281231
浴室業,山之林溫泉餐館,臺北市北投區行義路402巷15號,優,20281231
浴室業,皇池溫泉大飯店股份有限公司(皇池2館),臺北市北投區紗帽路40之6號,優,20281231
浴室業,鳳凰閣旅社,臺北市北投區溫泉路106之1號,優,20281231
浴室業,水都溫泉館股份有限公司,臺北市北投區光明路283號,優,20281231
浴室業,天玥國際股份有限公司,臺北市北投區中山路3號,優,20281231
浴室業,北投麗禧溫泉酒店股份有限公司,臺北市北投區幽雅路30號,優,20281231
浴室業,麗之湯別館,臺北市北投區溫泉路銀光巷4之2號,優,20281231
浴室業,漾館溫泉商旅,臺北市北投區溫泉路63號,優,20281231
浴室業,彩色人生興業股份有限公司(三二行館),臺北市北投區中山路32號,優,20281231
浴室業,嘉賓閣溫泉會館,臺北市北投區光明路230號,優,20281231
浴室業,日勝生加賀屋國際溫泉飯店股份有限公司,臺北市北投區光明路236號,優,20281231
浴室業,第一閣旅社,臺北市北投區泉源路17號,優,20281231
浴室業,美樂莊旅社,臺北市北投區中和街20巷6號,優,20281231
浴室業,臺北市北投運動中心,臺北市北投區石牌路1段39巷100號,優,20281231
浴室業,大地國際酒店股份有限公司,臺北市北投區奇岩路1號,優,20281231
浴室業,泉都飯店股份有限公司,臺北市北投區光明路220號,優,20281231
浴室業,國際大旅館,臺北市北投區湖山路1段7號,優,20271231
浴室業,皇池溫泉大飯店股份有限公司(皇池1館),臺北市北投區紗帽路42之2號,優,20271231
浴室業,禾園溫泉餐廳,臺北市北投區行義路300巷1號,優,20271231
浴室業,川湯會館營業處,臺北市北投區行義路300巷10號,優,20271231
浴室業,櫻崗溫泉會?有限公司,臺北市北投區行義路300巷3號,優,20271231
