序號,行政區域代碼,設置項目,設置點類別,機構代碼,設置地點,電話,分機,地址,服務時間,備註
1,63000010,衛教諮詢站,藥局,0101AB0001,一安正昇,(02)27680993,,臺北市松山區南京東路五段309號1樓,08：30~22：00,
2,63000010,針具自動服務機,藥局,0101BB0001,正昇藥局,(02)29181518,,臺北市松山區南京東路五段309號1樓,00：00~23：59,
3,63000030,衛教諮詢站,藥局,0102AB0001,大興藥局,(02)27053369,,臺北市大安區通化街39巷50弄15號,08：30~21：30,
4,63000060,衛教諮詢站,藥局,0109AB0002,惠眾藥局,(02)25981269,,臺北市大同區重慶北路三段335巷43號,09：00~22：00,
5,63000060,針具自動服務機,醫事機構,0109BD0001,臺北市立聯合醫院(中興院區),(02)29181518,,臺北市大同區鄭州路145號,00：00~23：59,
6,63000060,針具回收桶,醫事機構,0109CD0001,中興院區,(02)23703739,1649,臺北市大同區鄭州路145號,00：00~23：59,
7,63000060,針具回收桶,公園/市場/公廁,0109CG0001,歸綏公園,(02)23703739,1649,臺北市大同區重慶北路歸綏街口,00：00~23：59,
8,63000060,針具回收桶,公園/市場/公廁,0109CG0002,樹德公園,(02)23703739,1649,臺北市大同區大龍街90-10號前,00：00~23：59,
9,63000060,針具回收桶,公園/市場/公廁,0109CG0003,蘭州公園,(02)23703739,1649,臺北市大同區蘭州街89巷前,00：00~23：59,
10,63000040,衛教諮詢站,藥局,0110AB0004,立大藥局,(02)25313844,,臺北市中山區吉林路144巷10號,13：00~24：00,
11,63000040,衛教諮詢站,藥局,0110AB0005,晏晟藥局,(02)25851445,,臺北市中山區林森北路625號,09：00~23：00,
12,63000040,衛教諮詢站,藥局,0110AB0006,大直藥局,(02)25320522,,臺北市中山區北安路617號,09：00~21：30,
13,63000040,衛教諮詢站,藥局,0110AB0007,啟美藥局,(02)25178032,,臺北市中山區錦州街282號,09：00~21：30,
14,63000040,針具自動服務機,藥局,0110BB0002,大直藥局,(02)29181518,,臺北市中山區北安路617號,00：00~23：59,
15,63000040,針具回收桶,藥局,0110CB0001,大直藥局,(02)23703739,1649,臺北市中山區北安路617號,00：00~23：59,
16,63000040,針具回收桶,醫事機構,0110CD0002,林森院區,(02)23703739,1649,臺北市中山區林森北路530號(大馬路旁，販賣機旁),00：00~23：59,
17,63000040,針具回收桶,公園/市場/公廁,0110CG0004,榮星公園,(02)23703739,1649,臺北市中山區民權東路三段1號(在復興北路旁),00：00~23：59,
18,63000100,衛教諮詢站,藥局,0111AB0008,赫得藥局,(02)26328642,,臺北市內湖區康樂街72巷17弄4號,09：30~12：30、14：30~18：30、19：30~23：00,
19,63000100,衛教諮詢站,藥局,0111AB0009,永安藥局,(02)26586658,,臺北市內湖區文德路210巷30弄48號,09：30~22：30,
20,63000100,衛教諮詢站,藥局,0111AB0010,晶龍藥局,(02)27956251,,臺北市內湖區成功路四段218號,09：00~22：00,
21,63000090,衛教諮詢站,藥局,0112AB0011,勝安藥局,(02)27828450,,臺北市南港區舊莊街一段165號,W1~6：09：00~22：00,
22,63000090,衛教諮詢站,藥局,0112AB0012,杏安藥局,(02)27864119,,臺北市南港區昆陽街140巷16號,09：00~22：30,
23,63000090,針具自動服務機,藥局,0112BB0003,勝安藥局,(02)29181518,,臺北市南港區舊莊街一段165號,00：00~23：59,
24,63000090,針具回收桶,藥局,0112CB0003,勝安藥局,(02)23703739,1649,臺北市南港區舊莊街一段165號,00：00~23：59,
25,63000110,衛教諮詢站,藥局,0115AB0013,建芳藥局,(02)28357172,,臺北市士林區德行東路148號,10：00~22：00,
26,63000110,衛教諮詢站,醫事機構,0115AD0001,陽明院區,(02)28353456,6123,臺北市士林區雨聲街105號,08：00~17：00,
27,63000110,針具自動服務機,藥局,0115BB0004,達揚藥局(1),(02)29181518,,臺北市士林區社正路36號,00：00~23：59,
28,63000110,針具自動服務機,藥局,0115BB0005,達揚藥局(2),(02)29181518,,臺北市士林區社正路36號,00：00~23：59,
29,63000110,針具自動服務機,醫事機構,0115BD0003,臺北市立聯合醫院(陽明院區),(02)29181518,,臺北市士林區雨聲街105號,00：00~23：59,
30,63000110,針具回收桶,醫事機構,0115CD0006,陽明院區,(02)23703739,1649,臺北市士林區雨聲街105號(急診護理室旁的女殘障廁所),00：00~23：59,
31,63000110,針具回收桶,醫事機構,0115CD0007,陽明院區,(02)23703739,1649,臺北市士林區雨聲街105號(急診護理室旁的男殘障廁所),00：00~23：59,
32,63000110,針具回收桶,公園/市場/公廁,0115CG0005,劍潭公園(園2),(02)23703739,1649,臺北市士林區中山北路四段(圓山飯店西側),00：00~23：59,
33,63000120,衛教諮詢站,藥局,0116AB0014,祐鄰藥局,(02)28281232,,臺北市北投區尊賢街250號,09：00~23：00,
34,63000120,衛教諮詢站,藥局,0116AB0015,九福藥局,(02)28953009,,臺北市北投區公館路236號,09：00~21：30,
35,63000120,衛教諮詢站,藥局,0116AB0016,出雲藥局,(02)28584824,,臺北市北投區知行路247號,"W1~5：09：00~22：00
W6：09：00~18：00",
