行政區,地點,地址,樣態,開放時間,緯度,經度,相對位置,照片連結,管理單位,管理單位電話,備註
松山區,臺北體育館,南京東路4段10號,戶外開放式吸菸區,24小時開放,25.05135,121.55292,,,臺北市政府體育局,(02)25702330,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,臺北體育局旁空地,南京東路4段10號,戶外開放式吸菸區,24小時開放,25.05128,121.55281,體育館後方停車場,,臺北市政府體育局,(02)25702330,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市市政大樓1,市府路1號,戶外開放式吸菸區,週一至週五07:00-19:00，例假日及國定假日不開放,25.03836,121.56394,3樓北區露臺,https://lh3.googleusercontent.com/d/1kXuaPTZlBU6vTO3H6ckidnrHV6p__Nu7,臺北市市政大樓公共事務管理中心,(02)27208889-8608,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市市政大樓2,市府路1號,戶外開放式吸菸區,週一至週五07:00-19:00，例假日及國定假日不開放,25.03712,121.56447,12樓東南區天臺,https://lh3.googleusercontent.com/d/1SCnwF7_0YuNttgpuiyKWCbgLMwSiIW2z,臺北市市政大樓公共事務管理中心,(02)27208889-8608,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區1,忠孝東路4段515號,戶外開放式吸菸區,24小時開放,25.04146,121.56021,忠孝東路4段側,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區2,忠孝東路4段516號,戶外開放式吸菸區,24小時開放,25.04225,121.56074,逸仙路側，臨辦公棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區3,忠孝東路四段517號,戶外開放式吸菸區,24小時開放,25.04271,121.56138,逸仙路側，臨旅館棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區4,忠孝東路4段518號,戶外開放式吸菸區,24小時開放,25.04317,121.55882,光復南路側，商場棟後方,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區5,忠孝東路4段519號,戶外開放式吸菸區,24小時開放,25.04483,121.55861,菸廠路側，臨辦公棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區6,忠孝東路4段520號,戶外開放式吸菸區,24小時開放,25.04449,121.55792,光復南路側，臨影城棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館火化場旁,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01242,121.55329,火化場門口(朝景仰、景行樓方向)右手邊,https://lh3.googleusercontent.com/d/1K81z6qCHXYhZEsDhNC_mnXai9eS6lvOc,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館停柩室廁所外,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01274,121.55318,停柩室廁所外,https://lh3.googleusercontent.com/d/1_osfSg1Mo3MG9pXBeZIvw0J34UxNxrIs,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館景仰樓2樓露臺,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01322,121.55308,景仰樓2樓室外梯下方,https://lh3.googleusercontent.com/d/1G9uNC6RVqRJIFc9ZTYwVzAlDmHfQEW6R,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館中庭景行樓室外梯下方,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01333,121.55275,至忠一廳門口(朝辛亥路方向)外,https://lh3.googleusercontent.com/d/1iX2uGrhyB5erVREqTDULBP50x1_kKWGc,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館景行樓4樓園圃,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01344,121.55251,景行樓4樓梯廳(朝辛亥路方向)左手邊,,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館計程車停等區,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01381,121.55225,景明廳門口(朝辛亥路方向)與公共藝術左手邊,https://lh3.googleusercontent.com/d/1OQHQyCv_R2o-pZ2-Oj7zCS1y2WEEOI5b,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,臺北市萬華區行政中心,和平西路3段120號,戶外開放式吸菸區,06:00-23:00,25.03502,121.5002,東側廣場,,臺北市萬華區公所,(02)23064468-318,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,臺北市文山區行政中心,木柵路3段220號,戶外開放式吸菸區,24小時開放,24.99001,121.56946,停車場前方,https://lh3.googleusercontent.com/d/15gmC1clUvkJsZW-q9plI-q16ZOo5ndBQ,臺北市文山區公所,(02)29365522-400,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館1館南側,經貿二路1號,戶外開放式吸菸區,24小時開放,25.05572,121.61757,展覽館1樓南側,,中華民國對外貿易發展協會南港展覽館1館管理組,(02)27255200-5515,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館1館東側,經貿二路1號,戶外開放式吸菸區,24小時開放,25.05648,121.61892,展覽館1樓東側,,中華民國對外貿易發展協會南港展覽館1館管理組,(02)27255200-5515,本位置資訊僅供參考，實際情形以現場公告及標示為準
