CITYZONE,NAME,S_NAME,SUPPLIER,ADDRESS,電話,DUTY_TIME,HAVEOIL,HAVEGAS,HAVESELF,ADDR_X,ADDR_Y
士林區,台亞,台亞基河加油站,台塑,承德路四段200號,(02)28815335,24小時,Y,,Y,302655,2775585
大同區,中油,民權西路站,中油直營站,民權西路194號,(02)25575809,24小時,Y,,Y,301881,2772828
大安區,中油,龍安站,中油直營站,和平東路二段2號,(02)23631735,24小時,Y,,Y,304024,2768732
大安區,勝利基金會,勝利站,中油加盟站,建國南路二段75之1號,(02)27555499,24小時,Y,,,304307,2769314
大安區,中油,金山南路站,中油直營站,金山南路二段77號,(02)23518346,7~24時,Y,,Y,303202,2769368
大安區,中油,新生南路站,中油直營站,仁愛路三段1號,(02)27112316,7~22時,Y,,,303804,2770146
大安區,陽光基金會,陽光市民站,中油加盟站,建國南路一段57之1號,(02)27529928,24小時,Y,,,304145,2770803
大安區,中油,富陽街站,中油直營站,富陽街129號,(02)27324229,24小時,Y,,Y,306206,2768011
大安區,中油,基隆路站,中油直營站,基隆路二段162號,(02)27383992,24小時,Y,,,306094,2768960
中山區,中油,中崙站,中油直營站,八德路二段214號,(02)27712548,24小時,Y,,Y,304449,2771023
中山區,陽光基金會,陽光建北站,中油加盟站,建國北路三段91之1號,(02)25014338,24小時,Y,,Y,304125,2773150
中山區,中油,吉林路站,中油直營站,吉林路31號,(02)25417952,7~22時,Y,,Y,303494,2771524
中山區,中油,大直站,中油直營站,明水路661號,(02)25320154,24小時,Y,,Y,305537,2775230
中山區,中油,新生北路站,中油直營站,新生北路二段71號,(02)25815206,24小時,Y,,Y,303277,2772145
中山區,長安,長安站-終止營業,中油加盟站,長安東路二段34號,(02)25671667,24小時,Y,,,303610,2771240
北投區,鈉叡,降2元加油加氣站,中油加盟站,承德路六段359號,(02)28285798,24小時,Y,Y,Y,301576,2777587
士林區,全國,全國洲美站,台塑,延平北路六段505號,(02)88113031,24小時,Y,,Y,300257,2776186
松山區,中油,濱江大直橋加油加氣站,中油直營站,濱江街373號,(02)25177975,24小時,Y,Y,Y,305644,2773940
士林區,中油,社子站,中油直營站,重慶北路四段198號,(02)28122647,24小時,Y,,,301620,2775301
士林區,中油,福林站,中油直營站,中山北路五段465號,(02)28812420,24小時,Y,,Y,303211,2776119
士林區,中油,陽明山站,中油直營站,格致路3號,(02)28616052,24小時,Y,,,305030,2780900
士林區,中油,文林路站,中油直營站,文林路100號,(02)28817934,24小時,Y,,Y,303068,2775573
士林區,台亞,台亞士林加油站,台塑,中山北路五段570號,(02)28812342,24小時,Y,,Y,303282,2776470
士林區,同宏,芝山站,中油加盟站,至誠路二段40號,(02)28320320,24小時,Y,,,303328,2777171
士林區,全國,全國台北交流道站,台塑,重慶北路四段141號,(02)28118028,24小時,Y,,Y,301651,2775046
北投區,富叡,關渡大業站,中油加盟站,大業路157號,(02)28983720,24小時,Y,,,300286,2779659
北投區,晶叡,石牌愛心站,中油加盟站,承德路七段139號,(02)28206995,24小時,Y,,,301305,2778338
中山區,柑園股份有限公司,柑園濱江站,中油加盟站,濱江街195號,(02)25057789,24小時,Y,,,304428,2773942
松山區,中油,松山機場站,中油直營站,敦化北路342之1號,(02)25457180,24小時,Y,,Y,305548,2772825
松山區,中油,復興北路站,中油直營站,復興北路31號,(02)27112342,7-23時,Y,,Y,304929,2771380
松山區,中油,民生東路站,中油直營站,三民路126號,(02)27671664,24小時,Y,,Y,306892,2772484
松山區,中油,光復北路站,中油直營站,光復北路9號,(02)27674900,24小時,Y,,Y,306305,2771327
松山區,全國,全國撫遠街站,台塑,塔悠路99號,(02)27670389,24小時,Y,,Y,307529,2771865
信義區,中油,松山路站,中油直營站,松山路480號,(02)27297328,24小時,Y,,Y,308280,2770311
大安區,中油,信義路站,中油直營站,信義路四段374號,(02)27081235,24小時,Y,,Y,306053,2769540
中山區,榮耀能源,榮耀大直橋加油加氣站,中油直營站,濱江街333號,(02)25033166,24小時 -車用液化石油氣供應商為中油,Y,Y,Y,305250,2773918
中正區,中油,莒光路站,中油直營站,莒光路2號,(02)23028385,24小時,Y,,Y,301196,2769355
中正區,中油,汀州路站,中油直營站,汀州路三段1號,(02)23655595,24小時,Y,,Y,303078,2768172
中正區,中油,林森北路站,中油直營站,林森北路11號,(02)23410686,24小時,Y,,Y,302871,2770960
內湖區,台亞,台亞堤頂交流道加油站,台塑,舊宗路二段111號,(02)87918388,24小時,Y,,Y,308004,2773548
內湖區,中油,內湖站,中油直營站,民權東路六段50號,(02)27920678,24小時,Y,,Y,308914,2773495
內湖區,中油,東湖站,中油直營站,康寧路三段225號,(02)26311524,7~22時,Y,,Y,311733,2773394
內湖區,中油,內湖麗山街站,中油直營站,內湖路一段362號,(02)26577339,24小時,Y,,Y,307609,2774900
內湖區,中油,新明路加油站,中油加盟站,新明路305號,(02)27915409,24小時,Y,,,309016,2772214
內湖區,康寧,康寧站,中油加盟站,康寧路三段30號,(02)26328788,24小時,Y,,Y,311377,2773883
內湖區,紫陽,紫陽站,中油加盟站,文德路206號,(02)26579000,24小時,Y,,Y,308856,2774581
內湖區,統一精工,統一精工內湖一站,台塑,新明路92號,(02)27929031,24小時,Y,,,309476,2772513
內湖區,麗馳,麗馳站,中油加盟站,舊宗路二段133號,(02)27925356,24小時,Y,,,308007,2773630
內湖區,全國,全國民權站,台塑,民權東路六段20號,(02)87922326,24小時,Y,,Y,308347,2773261
內湖區,全國,全國文德站,台塑,民權東路六段10號,(02)27938806,24小時,Y,,Y,308077,2773174
內湖區,西歐,自強站-終止營業,台塑,內湖路一段146號,(02)26279311,24小時,Y,,Y,306910,2775058
內湖區,中油,安康加油加氣站,中油直營站,安康路282號,(02)27909413,7-22時,Y,Y,,311127,2773016
內湖區,全國,全國港墘路站,台塑,港墘路250號,(02)26598405,24小時,Y,,Y,307749,2774187
文山區,政大,政大站,中油加盟站,指南路一段53號,(02)29398177,24小時,Y,,,307624,2764552
文山區,中油,木柵站,中油直營站,木柵路三段2號,(02)29392990,24小時,Y,,Y,306959,2764606
文山區,車容坊,辛亥站,中油加盟站,辛亥路四段100號,(02)29339198,24小時,Y,,Y,306305,2766569
文山區,全國,全國景美站,台塑,羅斯福路六段140號,(02)29356519,24小時,Y,,Y,304580,2765475
文山區,金台,福華站,中油加盟站,興隆路二段244巷1號,(02)29347533,24小時,Y,,Y,305915,2765989
文山區,世新,世新站,中油加盟站,景興路293號,(02)29354466,24小時,Y,,,304763,2764698
北投區,台亞,台亞承德站,台塑直營站,承德路七段303號,(02)28203335,24小時,Y,,Y,300821,2778805
北投區,中油,北投站,中油直營站,承德路七段384號,(02)28201203,24小時,Y,,Y,300650,2779085
北投區,中油,中央北路站,中油直營站,中央北路四段584號,(02)28913744,24小時,Y,,Y,297002,2779918
北投區,中油,百齡四路加油加氣站,中油直營站,承德路六段427號,(02)28201427,24小時,Y,Y,Y,301548,2777836
北投區,車容坊,大業站,中油加盟站,大度路2號,(02)28927890,24小時,Y,,,300271,2779334
信義區,中油,忠孝東路站,中油直營站,忠孝東路五段69號,(02)27622418,24小時,Y,,Y,307208,2770482
南港區,中油,南港站,中油直營站,南港路二段50號,(02)27822408,24小時,Y,,Y,310997,2771910
南港區,全國,全國南港站,台塑,南港路三段49號,(02)27828306,24小時,Y,,Y,309534,2771810
內湖區,中油,西湖站,中油直營站,內湖路一段59號,(02)27992147,7~23時,Y,,Y,306485,2775316
萬華區,中油,環河南路站,中油直營站,環河南路二段274之2及117之1號,(02)23040528,汽車及自助加油24小時，機車及柴油7~22時,Y,,Y,299588,2769468
萬華區,中油,桂林路站,中油直營站,桂林路53號,(02)23819053,7~22時,Y,,Y,300808,2770110
萬華區,山隆,華中站,中油加盟站,萬大路388號,(02)23378460,24小時,Y,,Y,300330,2768295
萬華區,山隆,萬大站,中油加盟站,萬大路207號,(02)23375690,24小時,Y,,Y,300521,2768879
文山區,中油,萬隆站,中油直營站,興隆路一段13號,(02)29312829,24小時,Y,,Y,304437,2766387
內湖區,東易,東易站,中油加盟站,堤頂大道2段191號,(02)26572663,24小時,Y,,,307352,2774505
士林區,全宏,至善加油站,中油加盟站,至善路二段101號,(02)28818686,24小時,Y,,,305034,2776744
