項次,管制編號,機構名稱,機構電話,機構地址,再利用廢棄物,最大月再利用量（公噸/月）,廢棄物來源,再利用用途,檢核通過日期,檢核到期日期,批發零售業
1,A42A0596,和昌國際工業股份有限公司-內湖廠,02-87928766,(114)臺北市內湖區安康路一一一號,(R-1106)燃煤飛灰,2150,事業以煤為單一燃料之鍋爐或混燒百分之五(重量比)以下廢棄物衍生燃料或生質燃料之燃煤發電鍋爐產生之飛灰或底灰。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),混凝土攙和物,2020-10-23,2025-10-23,否
2,A4405804,德展砂石有限公司-德展土石方及營建混合物處理場,02-28203123,(112)臺北市北投區承德路七段三九三巷九一號,(R-0503)營建混合物,5202,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2021-08-30,2026-08-30,否
3,A43A1044,江浚實業有限公司-江浚營建混合物分類處理場,02-28109147,(111)臺北市士林區延平北路七段一號,(R-0503)營建混合物,4050,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2021-10-06,2026-10-06,否
4,A4095077,建和行,02-89351157,(116)臺北市文山區羅斯福路五段二○一號一樓,(R-1301)廢鐵,256.5,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2021-12-13,2026-12-13,是
,,,,,(R-0601)廢紙,34.2,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2021-12-13,2026-12-13,是
,,,,,(R-0201)廢塑膠,17.1,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2021-12-13,2026-12-13,是
,,,,,(R-0201)廢塑膠,17.1,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2021-12-13,2026-12-13,是
,,,,,(R-0201)廢塑膠,17.1,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品,2021-12-13,2026-12-13,是
,,,,,(R-1302)廢銅,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1304)廢鋁,51.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1301)廢鐵,256.5,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2021-12-13,2026-12-13,是
,,,,,(R-1303)廢鋅,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋅製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1303)廢鋅,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1301)廢鐵,256.5,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2021-12-13,2026-12-13,是
,,,,,(R-1305)廢錫,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1304)廢鋁,51.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1302)廢銅,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-13,2026-12-13,是
,,,,,(R-1301)廢鐵,256.5,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鋼原料,2021-12-13,2026-12-13,是
,,,,,(R-1305)廢錫,17.1,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),錫製品原料,2021-12-13,2026-12-13,是
5,A43B5558,仝興行,02-28858509,(111)臺北市士林區承德路四段一二巷七四號二樓,(R-1303)廢鋅,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋅製品原料,2021-12-20,2026-12-20,是
,,,,,(R-0601)廢紙,99,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2021-12-20,2026-12-20,是
,,,,,(R-0201)廢塑膠,9.9,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2021-12-20,2026-12-20,是
,,,,,(R-1301)廢鐵,99,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2021-12-20,2026-12-20,是
,,,,,(R-1304)廢鋁,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-20,2026-12-20,是
,,,,,(R-1301)廢鐵,99,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2021-12-20,2026-12-20,是
,,,,,(R-0201)廢塑膠,9.9,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品,2021-12-20,2026-12-20,是
,,,,,(R-1301)廢鐵,99,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鋼原料,2021-12-20,2026-12-20,是
,,,,,(R-0201)廢塑膠,9.9,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2021-12-20,2026-12-20,是
,,,,,(R-1304)廢鋁,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2021-12-20,2026-12-20,是
,,,,,(R-1302)廢銅,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-20,2026-12-20,是
,,,,,(R-1301)廢鐵,99,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2021-12-20,2026-12-20,是
,,,,,(R-1302)廢銅,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2021-12-20,2026-12-20,是
,,,,,(R-1303)廢鋅,9.9,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2021-12-20,2026-12-20,是
6,A4405822,亞太土石資源有限公司-亞太營建工程賸餘土石方及營建混合物資源處理場,02-28959856,(112)臺北市北投區大度路二九號,(R-0503)營建混合物,16800,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2022-01-24,2027-01-24,否
