機關名稱,開放時間,地址,電話,分機,手機
內政部國土管理署,週一至週五 08:30~17:30,臺北市松山區八德路2段342號,(02)87712437,,
交通部運輸研究所,週一至週五 08:30~17:30,臺北市松山區敦化北路240號,(02)23496734,6733,
交通部公路局臺北市區監理所,週一至週五 08:30~18:00,臺北市松山區八德路4段21號,(02)27630155,628,
"臺北自來水事業處
(東區營業分處)",週一至週五 08:30~17:30,臺北市松山區光復北路266號,(02)87703357,,
臺北大眾捷運股份有限公司-臺北小巨蛋,"週一至週日 09:00~21:00
(展演期間延至閉館)",臺北市松山區南京東路4段2號,"(02)25783536
",601、602,
微風廣場實業股份有限公司,"1.週日至週三 11:00~21:30
2.週四至週六 11:00~22:00",臺北市松山區復興南路1段39號,(02)66008888,3528,
台灣家樂福股份有限公司三民分公司,"1.週日至週四 08:00~23:00
2.週五、週六 08:00~24:00",臺北市松山區三民路160號,(02)27670702, 850、851,
臺北偶戲館,週二至週日 10:00~17:00,臺北市松山區市民大道5段99號,(02)25289553,202,
臺北市政府體育局,週一至週日 08:00~22:00,臺北市松山區南京東路4段10號,(02)25702330,6552,
食祿軒餐廳股份有限公司慶城分公司,週一至週日 11:00~21:30,臺北市松山區復興北路99號,(02)77071678,118,
臺北市立圖書館三民分館,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",臺北市松山區民生東路5段163-1號,(02)27600408,9,
臺北市立圖書館啟明分館,週一至週日 09:00~17:00,臺北市松山區敦化北路76號,(02)25148443,14,
空軍松山基地指揮部,週一至週五 08:00~17:00,臺北市松山區民權東路4段121號,(02)27198499,,
臺北市政府警察局松山分局,每日24小時開放,臺北市松山區南京東路4段12號,(02)25790692,,
臺北市政府社會局早療通報及轉介中心,週一至週五 09:30~17:00,臺北市松山區民生東路5段163-1號,(02)27568852,106,
臺北市松山區戶政事務所,週一至週五 08:30~17:30,臺北市松山區八德路4段692號,(02)27533043,517,
臺北市政府民政局民生社區中心,週一至週日 08:00~22:00,臺北市松山區民生東路5段163-1號,(02)27666959,,
臺北市立松山幼兒園,週一至週五 08:30~17:30,臺北市松山區敦化北路5號,(02)27153544,15,
臺北市立圖書館民生分館,週二至週六 08:30~21:00,臺北市松山區敦化北路5號,(02)27138083,,
臺北田徑場,週一至週五 08:00~17:00,臺北市松山區敦化北路3號,(02)25702330,6520,
微風置地股份有限公司南京分公司,週一至週日 11:00~22:00,臺北市松山區南京東路3段337號,(02)66000999,3528,
臺北市松山區公所,週一至週五 08:30~17:30,臺北市松山區八德路4段692號,(02)87878787,166,
