站號,廠牌,站名,行政區,郵遞區號,地址,電話,負責人
A12,山葉,宏立機車事業有限公司,大安區,106025,臺北市大安區和平東路2段141號,(02)27065429,沈鳳雲
A15,山葉,群億車業商行,松山區,105056,臺北市松山區八德路4段336號,(02)27603181,鄭宇廷
A16,三陽,松春來車業有限公司,松山區,105072,臺北市松山區民權東路5段30號,(02)27666884,盧家偉
A17,三陽,國盛機車行,松山區,105073,臺北市松山區撫遠街189號,(02)27688819,陳盛
A19,三陽,益隆車業有限公司,士林區,111062,臺北市士林區重慶北路4段244號,(02)28127500,潘林慶
A20,山葉,台益機車有限公司,士林區,111066,臺北市士林區延平北路5段129號,(02)28122405,劉尚承
A21,三陽,良陽國際有限公司,士林區,111035,臺北市士林區士東路250號,(02)28370460,林弘儒
A22,光陽,加祥車業有限公司,大同區,103006,臺北市大同區延平北路2段256號,(02)25571818,蕭耿祥
A23,山葉,忠億車業有限公司,大同區,103001,臺北市大同區西寧北路17-4號,(02)25525232,林坤忠
A24,三陽,順旺車業有限公司,大同區,103011,臺北市大同區延平北路1段24號,(02)25589506,陳祈良
A25,山葉,新協大車業有限公司,大同區,103041,臺北市大同區延平北路3段67-1號,(02)25924480,張黃玉梅
A26,光陽,大輝車業有限公司,南港區,115011,臺北市南港區忠孝東路7段600號,(02)27820869,黃進發
A29,山葉,日盛車業有限公司,內湖區,114020,臺北市內湖區成功路3段73號,(02)27934893,賴文棟
A32,光陽,東龍旺車業有限公司,萬華區,108033,臺北市萬華區東園街133號,(02)23320264,周盈君
A33,山葉,得山車業有限公司,萬華區,108010,臺北市萬華區康定路114號,(02)23313426,魏夏萍
A34,山葉,健立車業有限公司,萬華區,108018,臺北市萬華區桂林路206號,(02)23082460,張璿彬
A35,三陽,永振億實業有限公司,萬華區,108012,臺北市萬華區柳州街87號,(02)23044111,葉書銘
A36,山葉,運輪機車行,中山區,104097,臺北市中山區八德路2段86號,(02)27215371,林秋霞
A37,光陽,弘展機車有限公司,大同區,103001,臺北市大同區西寧北路93號,(02)25565871,郭永坤
A39,光陽,高旺企業股份有限公司,文山區,116058,臺北市文山區羅斯福路5段182號,(02)29312289,高德旺
A40,光陽,福盛全有限公司,北投區,112023,臺北市北投區中央南路1段210號,(02)28920313,陳志宗
A41,台鈴,汶吉車業行,北投區,112028,臺北市北投區大業路560號,(02)28929174,張劉瑋婷
A42,山葉,聯螢車業有限公司,北投區,112023,臺北市北投區中央南路1段156號1樓,(02)28955695,徐琇晴
A43,光陽,大仁車業有限公司,信義區,110067,臺北市信義區松隆路80號,(02)27606918,鄭朝澤
A45,山葉,松宏車業有限公司,信義區,110072,臺北市信義區忠孝東路5段205號,(02)27668065,林禾田
A46,光陽,四維通車業有限公司,內湖區,114032,臺北市內湖區民權東路6段128號,(02)27923672,羅志成
A47,山葉,展嘉輪業有限公司,文山區,116059,臺北市文山區羅斯福路5段48號,(02)29352235,陳炳坤
A48,三陽,鋒權輪有限公司,文山區,116074,臺北市文山區興隆路2段241號,(02)29318529,高新添
A49,山葉,盛昌機車行,大安區,106020,臺北市大安區辛亥路1段58號,(02)23656459,傅海祥
A50,光陽,進山車業有限公司,北投區,112053,臺北市北投區石牌路1段24號,(02)28271123,黃浩彰
A51,山葉,良江企業有限公司,萬華區,108030,臺北市萬華區中華路2段98號,(02)23049911,陳志強
A52,三陽,大旺車行,萬華區,108033,臺北市萬華區萬大路214號,(02)23015555,李金蓮
A53,光陽,后里車業有限公司,中正區,100056,臺北市中正區牯嶺街47號,(02)23417010,楊振武
A54,山葉,松大車業有限公司,中正區,100056,臺北市中正區牯嶺街61-3號,(02)23519923,呂鴻毅
A55,山葉,隆大車業行,北投區,112022,臺北市北投區承德路7段344巷15號,(02)28214471,陳美杏
A56,山葉,鉍勝車業有限公司,中正區,100033,臺北市中正區師大路146號,(02)23670321,王仁鴻
A57,山葉,忠豪車業有限公司,中正區,100013,臺北市中正區忠孝東路2段31號,(02)23223646,連昭銘
A58,山葉,磬葉企業有限公司,大同區,103047,臺北市大同區錦西街56號,(02)25532553,蕭富聰
A59,三陽,良星車業有限公司,大同區,103019,臺北市大同區重慶北路2段39號,(02)25550191,吳西寬
A60,三陽,大華車業有限公司,大同區,103013,臺北市大同區承德路1段47號,(02)25550831,陳信忠
A71,三陽,中盛機車有限公司,南港區,115027,臺北市南港區東新街4號,(02)27826661,曾月環
A72,三陽,富偉機車行,士林區,111044,臺北市士林區文林路663號,(02)28351376,黃豐榮
A73,台鈴,力泰車業有限公司,士林區,111064,臺北市士林區延平北路5段220號,(02)28126365,程麗蓉
A74,山葉,永生車業有限公司,士林區,111056,臺北市士林區華齡街71號,(02)28832628,呂金隆
A75,偉士伯,長豐車業行,大同區,103034,臺北市大同區承德路3段160號,(02)25910280,胡有典
A76,三陽,弘達車業有限公司,大同區,103034,臺北市大同區承德路3段162號,(02)25927617,陳武田
A77,光陽,金理車業有限公司,大安區,106083,臺北市大安區八德路2段35號,(02)27112950,楊劉玉英
A78,三陽,宏興車業有限公司,大安區,106055,臺北市大安區和平東路3段127號,(02)27371201,侯天助
A79,台鈴,車王二輪社,大安區,106079,臺北市大安區延吉街64-1號,(02)27783310,陳文祥
A80,光陽,益揚車業有限公司,大安區,106013,臺北市大安區羅斯福路3段93號,(02)23653488,陳周紅
A81,三陽,農安機車有限公司,中山區,104062,臺北市中山區龍江路375號,(02)25032002,黃登鑫
A82,光陽,大昌機車有限公司,中山區,104044,臺北市中山區北安路458巷3號,(02)25325325,湯乾坤
A83,光陽,展欣豪車業有限公司,中山區,104023,臺北市中山區民權東路2段126號,(02)25215751,吳惠鈴
A85,台鈴,异城車業有限公司,中山區,104101,臺北市中山區八德路2段329號,(02)27818035,簡?達
A86,光陽,達誠車業有限公司,中山區,104084,臺北市中山區吉林路12-3號,(02)25615203,邱寬
A87,光陽,名佳車業行,中山區,104076,臺北市中山區錦州街310-1號,(02)25052840,廖偉樹
A88,山葉,慶發車業有限公司,中正區,100064,臺北市中正區汀州路1段182號,(02)23013749,邱炳宗
A89,光陽,隆發車業有限公司,中正區,100054,臺北市中正區重慶南路3段135號,(02)23688822,陳哲男
A90,山葉,春琳國際車業有限公司,內湖區,114033,臺北市內湖區江南街28號,(02)26574081,呂圓
A91,光陽,鳳翔車業行,文山區,116002,臺北市文山區木柵路1段57-6號,(02)22362673,楊偉源
A92,三陽,元土車行,文山區,116005,臺北市文山區木柵路1段212號,(02)29363029,潘宗彬
A93,山葉,光輝機車行,文山區,116022,臺北市文山區忠順街1段36、38號,(02)29375440,李世雄
A95,三陽,順利機車行,文山區,116017,臺北市文山區木新路2段285號,(02)29390679,吳顏差
A96,山葉,拓源機車行,文山區,116018,臺北市文山區木新路3段73號,(02)29360058,呂世源
A97,三陽,東和機車行,文山區,116024,臺北市文山區指南路1段4號,(02)29391769,陳智山
