seqno,停車場ID,營運id,營運單位,對應停車場,狀態,電話,郵遞區號,地址,說明
1,100,1,臺北市停管處,電子標籤平臺,1,02-2759-0666,110,臺北市信義區松德路300號5樓,停管處電子標籤平臺
2,102,1,臺北市停管處,百齡高中地下停車場,0,02-2882-3992,111,臺北市士林區承德路4段175號地下,110/11/1起停止服務
3,103,1,臺北市停管處,前港公園地下停車場,1,02-2881-7033,111,臺北市士林區前港街45號地下,無
4,105,1,臺北市停管處,大豐公園地下停車場,1,02-2892-1209,112,臺北市北投區大興街145號地下,無
5,113,1,臺北市停管處,福林公園地下停車場,1,02-2883-0481,111,臺北市士林區中正路17號地下,無
6,115,1,臺北市停管處,蘭雅公園地下停車場,1,02-2831-8004,111,臺北市士林區德行東路129巷31號地下,無
7,116,1,臺北市停管處,立農公園地下停車場,1,02-2823-0834,112,臺北市北投區承德路7段372號地下,無
8,117,1,臺北市停管處,承德公園地下停車場,0,02-2883-7104,111,臺北市士林區基河路150號地下,停管已委外
9,119,1,臺北市停管處,海光公園地下停車場,1,02-2813-7344,111,臺北市士林區葫蘆街83號地下,無
10,202,1,臺北市停管處,大龍國小地下停車場,1,02-2599-2548,103,臺北市大同區哈密街47號地下,無
11,204,1,臺北市停管處,成淵高中地下停車場,0,02-2552-0589,103,臺北市大同區承德路2段235號之1地下,停管已委外
12,205,1,臺北市停管處,大稻埕公園地下停車場,0,02-2549-1705,103,臺北市大同區歸綏街243號地下,停管已委外
13,206,1,臺北市停管處,朝陽公園地下停車場,0,0800-608-838,103,臺北市大同區重慶北路2段68號地下,停管已委外
14,208,1,臺北市停管處,塔城公園地下停車場,1,02-2559-0032,103,臺北市大同區塔城街11號地下,無
15,211,1,臺北市停管處,洛陽立體停車場,1,02-2381-2484,108,臺北市萬華區環河南路1段1號,無
16,213,1,臺北市停管處,啟聰學校地下停車場,1,02-2599-5546,103,臺北市大同區延平北路4段205號地下,無
17,214,1,臺北市停管處,蓬萊國小地下停車場,0,02-2556-7024,103,臺北市大同區寧夏路35號地下,110/5/1起停止服務
18,216,1,臺北市停管處,峨眉立體停車場,0,02-2382-2854,108,臺北市萬華區峨嵋街83號,110/5/1起停止服務
19,219,1,臺北市停管處,雙園國中地下停車場,1,02-2301-6115,108,臺北市萬華區西園路2段320巷55弄3號地下,無
20,222,1,臺北市停管處,萬華國中地下停車場,1,02-2307-8457,108,臺北市萬華區西藏路201號地下,無
21,302,1,臺北市停管處,興中立體停車場,1,02-2783-2912,115,臺北市南港區興中路44巷1號,無
22,303,1,臺北市停管處,東湖國小地下停車場,1,02-2630-6731,114,臺北市內湖區東湖路115號之1地下,無
23,308,1,臺北市停管處,南港國小地下停車場,1,02-2651-7040,115,臺北市南港區興東街59號地下,無
24,309,1,臺北市停管處,港富立體停車場,1,02-8751-6897,114,臺北市內湖區內湖路1段737巷50弄32號,110/05/11重新上線
