編號,經度,緯度,廠商名稱_市招,經營主體,電話,分機,地址
1,121.5625,25.0353,君悅大飯店-綠洲健身中心,豐隆大飯店股份有限公司,(02)27201200,3572,臺北市信義區松壽路2號5樓
2,121.5667,25.0317,信義運動中心,社團法人中國青年救國團,(02)87861911,305,臺北市信依區松勤街100號
3,121.5612,25.0258,臺北醫學大學,臺北醫學大學,(02)27361661,2270,臺北市信義區吳興街250號
4,121.5762,25.0410,GO GYM健身俱樂部〈永春館〉,高勁健身事業股份有限公司,(02)27650700,,臺北市信義區忠孝東路5段451號B1
5,121.5690,25.0360,那米哥信義會館,那米哥國際股份有限公司,(02)23458199,,臺北市信義區松仁路101號B1
6,121.5708,25.0362,博愛國小,舞動陽光有限公司,(02)23450616,635,臺北市信義區松仁路95巷20號
7,121.5795,25.0450,台北市中華基督教青年會〈永吉會館〉,財團法人台北市中華基督教青年會,(02)27631261,,臺北市信義區永吉路500號
8,121.5666,25.0608,三民公園游泳池,桑斯伯國際有限公司,(02)87876527,,臺北市松山區撫遠街298號
9,121.5571,25.0533,泉心健康休閒會館,泉心健康休閒事業股份有限公司,(02)27650101,,臺北市松山區健康路156號B1
10,121.5475,25.0572,世界健身中心民生店,庚京健康世界股份有限公司,(02)87128200,,臺北市松山區民生東路3段156號B1
11,121.5504,25.0483,松山運動中心,匯揚百貨事業股份有限公司,(02)66176789,,臺北市松山區敦化北路1號
12,121.5778,25.0502,松山國小,頂尖運動行銷有限公司,(02)25286575,,臺北市松山區八德路4段746號
13,121.5508,25.0374,仁愛國中,藍鯨管理顧問股份有限公司,(02)27057349,,臺北市大安區仁愛路4段130號
14,121.6238,25.0305,山豬窟游泳池,舞動陽光有限公司,(02)26547412,,臺北市南港區舊莊街1段290巷32號
15,121.6161,25.0421,中央研究院綜合體育館游泳池,中央研究院,(02)27852717,7328,臺北市南港區研究院路2段128號
16,121.6103,25.0571,南港國小,舞動陽光有限公司,(02)27834678,2209,臺北市南港區惠民街67號
17,121.5192,25.0381,中正運動中心,遠東鐵櫃鋼鐵廠股份有限公司中正營業所,(02)33225016,,臺北市中正區信義路1段1號
18,121.5213,25.0548,中山運動中心,社團法人中國青年救國團,(02)25711060,,臺北市中山區中山北路2段44巷2號
19,121.5300,25.0496,長安國小,陽光魚整合行銷有限公司,(02)25113217,,臺北市中山區吉林路15號B1
20,121.5144,25.0355,臺北市立大學博愛校區附設泳池,臺北市立大學,(02)23113040,,臺北市愛國西路1號
21,121.5382,25.0640,榮星花園溫水游泳池,桑斯伯國際有限公司,(02)25175383,,臺北市中山區建國北路3段39號
22,121.5296,25.0685,新生公園游泳池,桑斯伯國際有限公司,(02)25956489,,臺北市中山區新生北路3段105號
23,121.5233,25.0523,大倉久和大飯店,長鴻榮實業股份有限公司,(02)21815123,,臺北市中山區南京東路1段9號
24,121.5162,25.0652,大同運動中心,遠東鐵櫃鋼鐵廠股份有限公司大同營業所,(02)25920055,,臺北市大同區大龍街51號
25,121.5169,25.0551,桑富士股份有限公司附設泳池,桑富士股份有限公司,(02)25527579,,臺北市大同區平陽街29號1樓
26,121.5068,25.0473,萬華運動中心 ,社團法人中國青年救國團,(02)23818878,,臺北市萬華區西寧南路6-1號
27,121.5035,25.0431,西門國民小學游泳池,藍鯨管理顧問股份有限公司,(02)23888908,,臺北市萬華區成都路98號
28,121.5037,25.0381,台北市中華基督教青年會〈萬華會館〉,財團法人台北市中華基督教青年會,(02)23610271,,臺北市萬華區昆明街290號
29,121.5070,25.0222,青年公園游泳池,運博國際有限公司,(02)23053800,,臺北市萬華區水源路199號
30,121.4988,25.0291,萬華國中,正日中體育事業股份有限公司,(02)23390988,,臺北市萬華區西藏路201號
31,121.4961,25.0286,華江高中,世清股份有限公司,(02)23396689,,臺北市萬華區西藏路213號
32,121.4927,25.0276,雙園國中附設藍鯨游泳學校,加勒比健康事業股份有限公司,(02)23071700,,臺北市萬華區興義街2號
33,121.5448,25.0245,國立臺北教育大學泳健館,長佳機電工程股份有限公司,(02)27331588,,臺北市大安區和平東路2段134號
34,121.5265,25.0256,國立臺灣師範大學游泳館,國立臺灣師範大學,(02)77343181,,臺北市大安區和平東路1段162號
35,121.5343,25.0236,公務人力發展中心福華國際文教會館游池,福華大飯店股份有限公司,(02)77122323,2013,臺北市大安區新生南路3段30號
36,121.5365,25.0197,國立臺灣大學綜合體育館溫水游泳池,國立臺灣大學,(02)33665959,,臺北市大安區羅斯福路4段1號
37,121.5365,25.0197,國立臺灣大學總區室外游泳池,國立臺灣大學,(02)33669514,,臺北市大安區羅斯福路4段1號
38,121.5382,25.0246,市立龍門國民中學游泳池,桑斯伯國際有限公司,(02)27390722,,臺北市大安區建國南路2段269號
39,121.5458,25.0209,大安運動中心,社團法人中國青年救國團,(02)23770300,,臺北市大安區辛亥路3段55號
40,121.5433,25.0141,國立臺灣科技大學,國立臺灣科技大學,(02)27376503,6912,臺北市大安區基隆路4段43號
41,121.5466,24.9989,靜心中小學,桑斯伯國際有限公司,(02)29359063,,臺北市文山區興隆路2段46號
42,121.5594,24.9970,文山運動中心,社團法人中國青年救國團,(02)22308268,,臺北市文山區興隆路3段222號
43,121.5761,24.9873,國立政治大學游泳館,國立政治大學,(02)29393091,62961,臺北市文山區指南路2段64號
44,121.5778,25.0030,博嘉運動公園游泳池〈木柵垃圾焚化廠〉,京元鼎育樂股份有限公司,(02)22395494,,臺北市文山區木柵路4段159巷16號
45,121.6069,25.0643,葫蘆洲運動公園游泳池〈內湖垃圾焚化廠〉,環保局內湖垃圾焚化廠,(02)27961833,362,臺北市內湖區安康路290號
46,121.6106,25.0664,市立南湖高中運動場館,頂尖運動行銷有限公司,(02)26308889,305,臺北市內湖區康寧路3段220號（公司：臺北市南京東路6段348號5樓之1）
47,121.5751,25.0783,內湖運動中心,遠東鐵櫃鋼鐵廠股份有限公司中正營業所,(02)26277776,,臺北市內湖區洲子街12號
48,121.5799,25.0681,貝克漢健康運動世界,貝克漢健康事業股份有限公司,(02)66029969,,臺北市內湖區民權東路6段15巷1號B1﹝申報瑞光路76巷101號﹞
49,121.6043,25.0825,大湖游泳池,運博國際有限公司,(02)27939859,,臺北市內湖區成功路5段31號大湖公園內
