序號,校名,行政區,郵遞區號,機關代碼,縣市別代碼,校園場地開放時間
1,臺北市立西松高級中學,松山區,105,379056100U,63000,週一-週五05:00~07:00，17:30~21:30；六日05:00~21:30
2,臺北市立中崙高級中學,松山區,105,379057400U,63000,周一-周五6:00-7:00，18:00-21:00 六日8:00-18:00
3,臺北市立介壽國民中學,松山區,105,379060100X,63000,"週一,週五18:00-20:00,20:00-22:00、週二-週四20:00-22:00、週六16:00-22:00、週日8:00-22:00"
4,臺北市立民生國民中學,松山區,105,379060200X,63000,周一-周五5:00-7:00，18:00-22:00，六日5:00-22:00
5,臺北市立中山國民中學,松山區,105,379065300X,63000,周一-周五5:00-7:00，17:30-21:30 六日5:00-21:30
6,臺北市立敦化國民中學,松山區,105,379066300X,63000,周一-周五6:00-7:00    六日7:00-18:00
7,臺北市松山區松山國民小學,松山區,105,379070100Y,63000,周一-周五6:00-7:00，18:00-22:00 六日8:00-18:00
8,臺北市松山區西松國民小學,松山區,105,379070200Y,63000,上課日5:00-7:00，1900:21:00，週休二日及例假日5:00-21:30
9,臺北市松山區敦化國民小學,松山區,105,379070800Y,63000,因施工未開放
10,臺北市松山區民生國民小學,松山區,105,379071000Y,63000,周一-周五5:30-7:00，18:00-21:30 六日5:30-21:30
11,臺北市松山區民權國民小學,松山區,105,379071200Y,63000,週一~週五17:30~21:30
12,臺北市松山區民族國民小學,松山區,105,379080800Y,63000,周一-周五6:00-7:00，18:00-19:00 六日9:00-19:00
13,臺北市松山區三民國民小學,松山區,105,379081400Y,63000,周一-周五19-21，六日0900-1700
14,臺北市松山區健康國民小學,松山區,105,379090400Y,63000,周一-周五5:00-7:00，19:00-22:00 六日5:00-22:00
15,臺北市立松山高級中學,松山區,105,379051800U,63000,周一-周五5:00-7:00，17:30-21:30 六日5:00-21:30
16,臺北市立永春高級中學,松山區,105,379052500U,63000,週一～週五6：30-7：30，17：00-21：30（六8：00-17：00）
17,臺北市立興雅國民中學,信義區,110,379060500X,63000,上課日 5:00~7:00，17:30~21:30   週休二日及例假日 5:00~21:30
18,臺北市立永吉國民中學,信義區,110,379065000X,63000,周一-周五5:00-7:00，17:30-22:00 六日5:00-22:00
19,臺北市立瑠公國民中學,信義區,110,379065500X,63000,周一~周五：5:30~6:30，17:00~21:00；六日：5:30~21:00
20,臺北市立信義國民中學,信義區,110,379066200X,63000,周一-周五5:00-7:00，17:00-21:30 六日5:00-21:30
21,臺北市信義區興雅國民小學,信義區,110,379084000Y,63000,周一-周五6:00-7:00，18:00-21:30 六08:00-19:00 日08:00-17:00
22,臺北市信義區光復國民小學,信義區,110,379084200Y,63000,周一-周五18:00-21:30 六日8:00-18:00
23,臺北市信義區三興國民小學,信義區,110,379084300Y,63000,周一-周五5:00-7:00，19:00-21:30 六日5:00-21:30
24,臺北市信義區信義國民小學,信義區,110,379084400Y,63000,周一-周五18:00-20:00，20:00-22:00 六日10:30-12:30，12:30-14:30，14:30-16:30
25,臺北市信義區吳興國民小學,信義區,110,379084500Y,63000,周一-周五5:00-7:00，19:00-21:30 六日5:00-18:00
26,臺北市信義區福德國民小學,信義區,110,379084600Y,63000,周一-周五5:00-7:00，17:30-21:30.六日5:00-21:30
27,臺北市信義區雙永國民小學,信義區,110,379091700Y,63000,周一-周五5:30-7:00，17:30-21:00 六日5:30-21:00
28,臺北市信義區博愛國民小學,信義區,110,379089400Y,63000,周一-周五5:00-7:00，17:30-21:30 六日5:00-21:30
29,臺北市立和平高級中學,大安區,106,379052400U,63000,一、上課日：17:00~21:00。 二、週休二日及例假日：05:00~21:00。 三、寒、暑假：學校辦理學藝活動時，開放時間比照上課日辦理，其餘開放時間比照週休二日及例假日辦理
30,臺北市立仁愛國民中學,大安區,106,379060700X,63000,週一-週五6：00-7：00，17：30-21：00；週六日6：00-21：00
31,臺北市立大安國民中學,大安區,106,379060800X,63000,周一-周五5:00-7:00，17:30-21:00 六日7:00-21:00
32,臺北市芳和實驗國民中學,大安區,106,379057700U,63000,因施工未開放
33,臺北市立金華國民中學,大安區,106,379067500X,63000,上課日:6:00-7:00，週休二日及例假日：8:00至18:00
34,臺北市立懷生國民中學,大安區,106,379061100X,63000,平日：星期二、三、五17時30分至21時，星期一、四19時至21時。週六、日及例假日：8時至21時。
35,臺北市民族實驗國民中學,大安區,106,379069500X,63000,周一-周五：上午5時至6時30分、下午6時30分至9時30分。週休二日及例假日：上午5時至下午9時30分。
36,臺北市立龍門國民中學,大安區,106,379068900X,63000,周一-周五17:50-22:00 周日10:00-22:00
37,臺北市大安區龍安國民小學,大安區,106,379071400Y,63000,周一-周五19:00-21:00 六日08:00-17:00
38,臺北市大安區大安國民小學,大安區,106,379071500Y,63000,周一-周五7:00前，18:00-22:00 六日7:00-22:00
39,臺北市大安區幸安國民小學,大安區,106,379071600Y,63000,(一)上課日：上午五時至七時、下午六時至九時三十分。(二)週休二日及例假日：上午五時至下午九時三十分。
40,臺北市大安區建安國民小學,大安區,106,379071700Y,63000,周一~周五06:00~07:00，19:00~21:00 周六日06:00~17:30
41,臺北市大安區仁愛國民小學,大安區,106,379071800Y,63000,周一~周五0500-0700，1750-2130。周六0500-0700，1300-2100。周日0500-2000
42,臺北市大安區金華國民小學,大安區,106,379071900Y,63000,週一-週五05：00-07：00  17：45-21：00六日05：00-21：00
43,臺北市大安區古亭國民小學,大安區,106,379085400Y,63000,周一-周五0530:00-7:00，18:00-21:00 六日05:30-21:00
44,臺北市大安區銘傳國民小學,大安區,106,379085500Y,63000,周一-周五17:50-21:50
45,臺北市大安區公館國民小學,大安區,106,379085600Y,63000,周一-周五5:00-7:00，19:00-21:00、 六日5:00-21:00
46,臺北市大安區新生國民小學,大安區,106,379090900Y,63000,週一-週四16:15-18:00週五17:20-18:00週六-週日08:30-16:30
47,臺北市和平實驗國民小學,大安區,106,379091200Y,63000,六日8:00-16:00
48,臺北市立中山女子高級中學,中山區,104,379051300U,63000,未開放
49,臺北市立大同高級中學,中山區,104,379052000U,63000,週一-週五5:00-7:00，17:30-21:30 六日5:00-21:30
50,臺北市立大直高級中學,中山區,104,379056300U,63000,六日 08：00~18：00
51,臺北市立長安國民中學,中山區,104,379067700X,63000,"週一至週五06:00-07:00，17:00-18:00, 週六日06:00-18:00"
52,臺北市立北安國民中學,中山區,104,379067800X,63000,周一-周五08:00-21:00 六日08:00-17:00
53,臺北市立新興國民中學,中山區,104,379063300X,63000,週一至週五06:00-07:00，17:30-21:30、週六06:00-21:00、週日及國定例假日06:00-17:00
54,臺北市立五常國民中學,中山區,104,379065900X,63000,周一-周五6:00-7:00，17:00-20:30； 六日9:00-17:00
55,臺北市濱江實驗國民中學,中山區,104,379069600X,63000,周一至周五5:00-7:00，17:00-21:00，六日5:00-21:00
56,臺北市中山區中山國民小學,中山區,104,379075000Y,63000,週一至週五5:30-7:00;17:50-21:50  週六日5:30-21:00
57,臺北市中山區中正國民小學,中山區,104,379075100Y,63000,周一-周五05:30:00-7:00，19:00-21:30 六日5:30-21:30
58,臺北市中山區長安國民小學,中山區,104,379075200Y,63000,周一-周五18:00-22:00 六日8:00-22:00
59,臺北市中山區長春國民小學,中山區,104,379075300Y,63000,"周一-周五 18:00-21:30,六日8:00-18:00"
60,臺北市中山區大直國民小學,中山區,104,379075400Y,63000,周一-周五5:00-7:00，19:00-21:00 六日5:00-21:00
61,臺北市中山區大佳國民小學,中山區,104,379075500Y,63000,週一-週五16:00-18:00；週六日8:00-17:00
62,臺北市中山區五常國民小學,中山區,104,379075700Y,63000,周一-周五17:30-18：30， 六日7:00-18:00
63,臺北市中山區吉林國民小學,中山區,104,379075800Y,63000,周一至周五05:00-07:00，17:30-21:30周六、日05:00-21:30寒暑假周一至周五05;00-08:00，16:30-21:30
64,臺北市中山區懷生國民小學,中山區,104,379075900Y,63000,周一-周五18:10-22:00；寒暑假17:00-22:00；六日7:00-22:00
65,臺北市中山區永安國民小學,中山區,104,379090300Y,63000,周一-周五5:00-7:00，19:00-21:00；六日8:00-16:00
66,臺北市中山區濱江國民小學,中山區,104,379091000Y,63000,周一-周五1730-2100 六日08:00-17:00
67,臺北市立建國高級中學,中正區,100,379051000U,63000,周一-周五6:10-7:20，17:20-21:50 六日7:10-21:00
68,臺北市立成功高級中學,中正區,100,379051100U,63000,周一-周五17:30-21:30   六日08:00-21:30
69,臺北市立第一女子高級中學,中正區,100,379051200U,63000,周一-周五17:00-18:00
70,臺北市立螢橋國民中學,中正區,100,379061500X,63000,周一-周五6:00-7:00，18:00-21:00 六日7:00-17:00
71,臺北市立古亭國民中學,中正區,100,379067900X,63000,週一至週五:5:00-7:00，17:00-21:00  ；  週六日:5:00-21:00
72,臺北市立南門國民中學,中正區,100,379061700X,63000,周一-周五17:30-21:00 六日7:00-18:00
73,臺北市立弘道國民中學,中正區,100,379061300X,63000,上課日：不開放。週休二日及例假日：08:00-18:00。
74,臺北市立中正國民中學,中正區,100,379065600X,63000,周一-周五6:30-22:00 週六7:00-21:00.週日7:00-19:00.
75,臺北市中正區螢橋國民小學,中正區,100,379084800Y,63000,周一-周五6:00-7:00，18:00-21:00 六日8:00-17:00
76,臺北市中正區河堤國民小學,中正區,100,379084900Y,63000,周一至周五004:00-07:00 周二及周四19:00-21:00 周六及周日04:00-21:30
77,臺北市中正區忠義國民小學,中正區,100,379091900Y,63000,因施工未開放
78,臺北市中正區國語實驗國民小學,中正區,100,379089700Y,63000,周六、周日：08:10-12;20、12:30-16:40
79,臺北市中正區南門國民小學,中正區,100,379085200Y,63000,周一-周五17:30-21:00，六日7:00-18:00
80,臺北市中正區東門國民小學,中正區,100,379085000Y,63000,週一-週五18:00-21:00;週六日08:00-17:00
81,臺北市中正區忠孝國民小學,中正區,100,379085300Y,63000,六日8:00-17:00
82,臺北市立大學附設實驗國民小學,中正區,100,379049301Y,63000,周一-周五不開放 六日8:00-16:00
83,臺北市立明倫高級中學,大同區,103,379052300U,63000,因施工未開放
84,臺北市立成淵高級中學,大同區,103,379052800U,63000,周一-周五6:00-7:00，18:00-21:00 ，六日6:00-16:30。
85,臺北市立建成國民中學,大同區,103,379062200X,63000,周一-周五18:00-22:00 六日08:00-22:00
86,臺北市立忠孝國民中學,大同區,103,379062300X,63000,周一-周五：上午6:00-7:00，下午6:00-8:30； 週 六、日及例假日：上午6:00-下午6:00；  寒暑假：下午5：00-08：30
87,臺北市立民權國民中學,大同區,103,379062500X,63000,六日0800-1700
88,臺北市立蘭州國民中學,大同區,103,379062700X,63000,周一-周五5:00-7:00，17:30-21:00 六日9:00-21:00
89,臺北市立重慶國民中學,大同區,103,379068000X,63000,周一至周五18:00-21:00，六日及例假日6:00-18:00
90,臺北市大同區蓬萊國民小學,大同區,103,379086900Y,63000,周一-周五5:30-7:00，19:00-21:30 六日8:00-18:00
91,臺北市大同區日新國民小學,大同區,103,379087000Y,63000,週一-週五5:00-7:00；六日8:00-18:00
92,臺北市大同區太平國民小學,大同區,103,379087100Y,63000,周一-周五5:00-6:30，17:30-20:30
93,臺北市大同區永樂國民小學,大同區,103,379087200Y,63000,周一-周五17:30-18:30， 六日8:00-18:00
94,臺北市大同區雙蓮國民小學,大同區,103,379074600Y,63000,周一-周五6:00-7:00，17:30-21:00 六日7:00-21:00
95,臺北市大同區大同國民小學,大同區,103,379074700Y,63000,周一至周五5:00-7:00，17:30-21:30 六日5:00-21:30
96,臺北市大同區大龍國民小學,大同區,103,379074800Y,63000,周一-周五19:00-21:30 六日8:00-21:30
97,臺北市大同區延平國民小學,大同區,103,379074400Y,63000,周一-周五6:00-7:00，18:00-21:00 六日6:00-21:00
98,臺北市大同區大橋國民小學,大同區,103,379074500Y,63000,週一-周五5:00-7:00，17:30-21:30。週六日及例假日5:00-21:30
99,臺北市立華江高級中學,萬華區,108,379052200U,63000,周一-周五5:00-7:00，17:30-21:30 六日5:00-21:30
100,臺北市立大理高級中學,萬華區,108,379056200U,63000,周一-周五5:00-6:50，17:00-17:50 六日8:00-16:00
101,臺北市立萬華國民中學,萬華區,108,379061800X,63000,六日7:00-17:30
102,臺北市立雙園國民中學,萬華區,108,379062000X,63000,周一-周五6:00-7:00   六日8:00-17:00
103,臺北市立龍山國民中學,萬華區,108,379065200X,63000,1.上課日：上午五時至七時、下午五時三十分至九時三十分。2.週休二日及例假日：上午五時至下午九時三十分。3.寒、暑假：學校辦理學藝活動時，開放時間比照上課日辦理，其餘開放時間比照週休二日及例假日辦理。
104,臺北市萬華區新和國民小學,萬華區,108,379085900Y,63000,周一-周五19:00-21:00 六日8:00-20:00
105,臺北市萬華區雙園國民小學,萬華區,108,379086100Y,63000,(一)平日：週一~週五上午五時至七時、周二、週五下午五時三十分至九時。 (二)假日(含國定假日)：上午五時至下午六時。  (三)寒暑假：上午五時至七時、下午四時以後。
106,臺北市萬華區東園國民小學,萬華區,108,379086000Y,63000,周一-周五5:00-7:00，18:00-21:30  六日05:00-19:00
107,臺北市萬華區大理國民小學,萬華區,108,379086200Y,63000,一、周一至週五：05:00~07:00、17:30~21:30。二、週休二日及例假日：05:00~21:30。
108,臺北市萬華區西園國民小學,萬華區,108,379086300Y,63000,周一-周五6:00-7:00，19:00-21:00 六12:00-18:00日8:00-18:00
109,臺北市萬華區萬大國民小學,萬華區,108,379086400Y,63000,周一-周五6:00-7:00，17:30-21:00 六日7:00-18:00
110,臺北市萬華區華江國民小學,萬華區,108,379086500Y,63000,周一-周五5:00-7:00，18:00-21:00 ，周六8:00-21:00，周日8:00-18:00
111,臺北市萬華區西門國民小學,萬華區,108,379086600Y,63000,周一-周五6:00-7:00；六日/例假日(含寒暑假) 8:55-17:00
112,臺北市萬華區老松國民小學,萬華區,108,379086700Y,63000,（一）週一至週五：5時至7時、18時至21時。 （二）週六：5時至7時、13時至21時。 （三）週日（含國定假日）5時至21時。
113,臺北市萬華區龍山國民小學,萬華區,108,379086800Y,63000,周一-周五6:00-7:00，17:30-21:30日8:00-18:00
114,臺北市萬華區福星國民小學,萬華區,108,379085700Y,63000,周一-周五18:40-22:00 六日8:30-18:00
115,臺北市立景美女子高級中學,文山區,116,379051400U,63000,六日08:00-17:00
116,臺北市立萬芳高級中學,文山區,116,379056900U,63000,週一-週五6:00-7:00，18:30-21:00 六日8:00-17:00
117,臺北市立木柵國民中學,文山區,116,379063900X,63000,周一-周五5:00-7:00，17:30-18:30；六日5:00-18:00
118,臺北市立實踐國民中學,文山區,116,379064000X,63000,因施工未開放
119,臺北市立北政國民中學,文山區,116,379064100X,63000,周一-周五6:00-7:00，18:00-21:00 六日7:00-18:00
120,臺北市立景美國民中學,文山區,116,379063700X,63000,周一~周五5:00-7:00，18:00-21:30 六日5:00-21:30
121,臺北市立興福國民中學,文山區,116,379063800X,63000,興福國中 周一-周五18:30-21:30， 六日05:30-08:30 15:00-20:30
122,臺北市立景興國民中學,文山區,116,379066100X,63000,周一-周五5:00-7:00，18:00-21:00六日5:00-21:00
123,臺北市文山區景美國民小學,文山區,116,379087300Y,63000,周一-周五19:00-21:00； 六日8:00-18:00
124,臺北市文山區武功國民小學,文山區,116,379087400Y,63000,周一-周五5:00-7:00，18:30-21:30 六日5:00-21:30
125,臺北市文山區興德國民小學,文山區,116,379087500Y,63000,未開放
126,臺北市文山區溪口國民小學,文山區,116,379087600Y,63000,周一-周五5:30-7:00，17:40-21:00 六日5:30-21:00
127,臺北市文山區興隆國民小學,文山區,116,379087700Y,63000,(1)周一-周五5:00-7:00、18:00-21:30，(2)周六、周日及例假日5:00-21:30，(3)寒暑假學校辦理照顧班或社團活動，比照上課日。
128,臺北市文山區志清國民小學,文山區,116,379087800Y,63000,周一-周五6:00-7:00，18:00-21:50 六日7:00-21:50
