NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
1,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535869,25.074578,304058.4359,2774145.154
2,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535919,25.074553,304063.4909,2774142.404
3,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535899,25.074617,304061.4452,2774149.486
4,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.5359224,25.07457442,304063.82,2774144.78
5,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535899,25.074556,304061.47,2774142.73
6,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.5359224,25.074536,304063.84,2774140.52
7,中山區,大佳河濱公園,碼頭南側,景觀,,121.5371953,25.07559831,304191.79,2774258.7
8,中山區,大佳河濱公園,碼頭南側,景觀,,121.5372366,25.07559831,304195.95,2774258.72
9,中山區,大佳河濱公園,碼頭南側,景觀,,121.5372816,25.07559831,304200.49,2774258.73
10,中山區,大佳河濱公園,碼頭南側,景觀,,121.5373303,25.07559661,304205.41,2774258.57
11,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5430095,25.07554055,304778.35,2774254.65
12,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543043,25.07553549,304781.74,2774254.1
13,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5430766,25.07553323,304785.13,2774253.86
14,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543107,25.0755338,304788.19,2774253.94
15,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431337,25.07553323,304790.89,2774253.89
16,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431592,25.07553098,304793.46,2774253.65
17,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431847,25.07552986,304796.03,2774253.53
18,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543212,25.07552705,304798.79,2774253.23
19,中山區,大佳河濱公園,網球場旁,景觀,,121.530588,25.075181,303525.417,2774209.844
20,中山區,大佳河濱公園,網球場旁,景觀,,121.53061,25.075134,303527.6568,2774204.647
21,中山區,大佳河濱公園,網球場旁,景觀,,121.530629,25.075097,303529.5896,2774200.556
22,內湖區,大溝溪親水公園,大湖街131巷,固定式,,121.596214,25.090563,310138.36,2775941.25
23,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514782,25.022832,301952.9381,2768405.202
24,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514771,25.0228,301951.8414,2768401.653
25,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514769,25.022772,301951.6513,2768398.551
26,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260813,25.01442693,303096.93,2767478.61
27,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260646,25.01445213,303095.24,2767481.4
28,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260507,25.01447435,303093.82,2767483.85
29,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260312,25.01449658,303091.85,2767486.31
30,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260229,25.01451324,303091,2767488.15
31,中正區,古亭河濱公園,客家園區鋼橋下,固定式,,121.5225596,25.02001569,302739.1,2768096.28
32,內湖區,成美右岸河濱公園,週美活動廣場旁,景觀,,121.581967,25.054533,308718.45,2771944.07
33,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582472,25.054364,308769.49,2771925.57
34,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582488,25.05434,308771.11,2771922.91
35,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582465,25.054424,308768.75,2771932.21
36,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575562,25.051377,308073.6831,2771591.724
37,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575512,25.051361,308068.6456,2771589.93
38,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575473,25.051329,308064.7255,2771586.369
39,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575419,25.051316,308059.283,2771584.905
40,士林區,百齡右岸河濱公園,三腳渡龍舟公園旁,景觀,,121.518013,25.080423,302254.6106,2774785.559
41,士林區,百齡右岸河濱公園,三腳渡龍舟公園旁,景觀,,121.51797,25.080387,302250.2882,2774781.555
42,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514711,25.090098,301917.43,2775855.95
43,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514738,25.090112,301920.15,2775857.51
44,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514773,25.090137,301923.67,2775860.29
45,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507086,25.093397,301146.9372,2776218.456
46,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507155,25.093386,301153.9015,2776217.264
47,士林區,社子島基隆河側,社子大橋兒童遊戲場,景觀,,121.494725,25.111317,299892.8608,2778198.76
48,士林區,社子島基隆河側,社子大橋兒童遊戲場,景觀,,121.494755,25.111277,299895.9026,2778194.34
49,士林區,社子島基隆河側,社子大橋兒童遊戲場,景觀,,121.49478,25.111241,299898.4385,2778190.362
50,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.51012,25.093274,301453.02,2776205.98
51,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.510148,25.093301,301455.83,2776208.99
52,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.510185,25.093325,301459.55,2776211.66
53,士林區,百齡左岸河濱公園,百齡橋下,景觀,,121.512349,25.088539,301679.84,2775682.36
54,士林區,百齡左岸河濱公園,百齡橋下,景觀,,121.512349,25.088539,301679.84,2775682.36
55,士林區,百齡左岸河濱公園,百齡橋下,景觀,,121.512349,25.088539,301679.84,2775682.36
56,北投區,貴子坑溪,福德宮旁,景觀,,121.490081,25.136659,299414.31,2781004.09
57,北投區,貴子坑溪,福德宮旁,景觀,,121.490069,25.136633,299413.11,2781001.21
58,北投區,貴子坑溪,福德宮旁,景觀,,121.490077,25.13665,299413.91,2781003.09
59,大同區,延平河濱公園,天水宮,景觀,,121.5079608,25.05719074,301272,2772304
60,大同區,延平河濱公園,租借站旁邊,景觀,,121.5081796,25.05805331,301227,2772088
61,大同區,延平河濱公園,租借站旁邊,景觀,,121.5075966,25.0560601,301214,2772083
62,大同區,延平河濱公園,租借站旁邊,景觀,,121.5078048,25.0560955,301235,2772087
63,大同區,延平河濱公園,租借站旁邊,景觀,,121.507636,25.05601482,301218,2772078
64,大同區,延平河濱公園,租借站旁邊,景觀,,121.5072817,25.054255,301226,2772099
65,大同區,延平河濱公園,延平宮後方,景觀,,121.5072706,25.05421334,301197,2771853
66,大同區,延平河濱公園,延平宮後方,景觀,,121.5072567,25.05411889,301203,2771848
67,大同區,延平河濱公園,延平宮後方,景觀,,121.5072456,25.05409111,301204,2771848
68,大同區,延平河濱公園,延平宮後方,景觀,,121.508218,25.057789,301194,2771856
69,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498891,25.099463,300317.86,2776887.28
70,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498883,25.099498,300317.04,2776891.16
71,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498865,25.09954,300315.2,2776895.8
72,士林區,社子島頭公園,社子島頭,景觀,,121.466517,25.110257,297048.4574,2778071.221
73,士林區,社子島頭公園,社子島頭,景觀,,121.466472,25.110251,297043.9213,2778070.54
74,士林區,社子島頭公園,社子島頭,景觀,,121.466435,25.110249,297040.1906,2778070.306
75,士林區,社子島基隆河側,滑水學校,景觀,,121.495667,25.1085,299989.0083,2777887.08
76,士林區,社子島基隆河側,滑水學校,景觀,,121.49567,25.108463,299989.3259,2777882.983
77,中山區,迎風河濱公園,溜冰場旁,景觀,,121.54857,25.0738,305340.09,2774064.12
78,中山區,迎風河濱公園,溜冰場旁,景觀,,121.548606,25.073824,305343.71,2774066.79
79,中山區,迎風河濱公園,溜冰場旁,景觀,,121.548639,25.073838,305347.03,2774068.35
80,內湖區,金瑞治水園區,內湖路三段,景觀,,121.580837,25.091193,308586.99,2776004.28
81,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561358,25.075992,306629.1659,2774312.212
82,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561354,25.075962,306628.7762,2774308.887
83,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561341,25.075932,306627.4785,2774305.559
84,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561331,25.075889,306626.4895,2774300.792
