序號,類別,檢收站名稱,地址,電話,分機
1,醫院,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,(02)28353456,6123
2,醫院,新光吳火獅紀念醫院,臺北市士林區文昌路95號,(02)28332211,2166
3,醫院,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234,3171~3173
4,醫院,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,(02)27093000,8114
5,醫院,中心綜合醫院,臺北市大安區忠孝東路4段77號,(02)27510221,5018
6,醫院,中山醫院,臺北市大安區仁愛路4段112巷11號,(02)27081166,1071~1078
7,醫院,國泰綜合醫院,臺北市大安區仁愛路4段280號,(02)27082121,3812
8,醫院,宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,(02)27713161,162
9,醫院,秀傳醫院,臺北市大安區光復南路116巷1號,(02)27717172,60015
10,醫院,國立臺灣大學醫學院附設癌醫中心醫院,臺北市大安區基隆路3段155巷57號,(02)23220322,37307
11,醫院,臺北市立聯合醫院林森中醫院區,臺北市中山區林森北路530號,(02)25916681,1311
12,醫院,馬偕紀念醫院,臺北市中山區中山北路2段92號,(02)25433535,2243
13,醫院,泰安醫院,臺北市中山區民權東路2段92巷2之1號,(02)25251111,112
14,醫院,協和婦女醫院,臺北市中山區松江路85巷5號,(02)25072222,105
15,醫院,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,(02)23889595,2021
16,醫院,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,(02)23889595,2021
17,醫院,三軍總醫院汀州院區,臺北市中正區汀州路3段40號,(02)23659055,88618
18,醫院,台灣大學醫學院附設醫院,"臺北市中正區常德街1號；中山南路7,8號",(02)23123456,66969
19,醫院,郵政醫院,臺北市中正區福州街14號,(02)23956755,125
20,醫院,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,78147
21,醫院,三軍總醫院總院,臺北市內湖區成功路2段325號,(02)87923311,88107
22,醫院,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路2段360號,(02)27919696,1111
23,醫院,康寧醫院,臺北市內湖區成功路5段420巷26號,(02)26345500,2926
24,醫院,臺北市立聯合醫院政大門診部,臺北市文山區指南?2段117號1?,(02)82377441,
25,醫院,景美醫院,臺北市文山區羅斯福路6段280號,(02)29331010,126
26,醫院,台北市立萬芳醫院,臺北市文山區興隆路3段111號,(02)29307930,1138
27,醫院,臺北市立聯合醫院北投門診部,臺北市北投區新市街30號5樓,(02)28353456,6123
28,醫院,台北榮民總醫院,臺北市北投區石牌路2段201號,(02)28712121,7280
29,醫院,和信治癌中心醫院,臺北市北投區立德路125號,(02)28970011,1811
30,醫院,台北市立關渡醫院,臺北市北投區知行路225巷12號,(02)28587177,
31,醫院,振興醫院,臺北市北投區振興街45號,(02)28264400,5610
32,醫院,國軍北投醫院附設民眾診療服務處(三軍總醫院北投分院),臺北市北投區新民路60號;中和街250號,(02)28959808,603136
33,醫院,培靈醫院,臺北市松山區八德路4段355號,(02)27606116,31
34,醫院,臺安醫院,臺北市松山區八德路2段424號,(02)27718151,2743
35,醫院,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,2209
36,醫院,台北長庚紀念醫院,臺北市松山區敦化北路199號,(02)27135211,3360
37,醫院,三軍總醫院松山分院,臺北市松山區健康路131號,(02)27642151,671110
38,醫院,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,(02)27263141,1159
39,醫院,臺北市立聯合醫院市府醫務室門診部,臺北市信義區市府路1號市府大樓北區10樓,(02)27205389,
40,醫院,臺北市立聯合醫院市議會醫務室,臺北市信義區仁愛路4段507號台北市議會2樓,(02)27255589,
41,醫院,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181,
42,醫院,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,(02)27861288,8093
43,醫院,臺北市立聯合醫院昆明院區,臺北市萬華區昆明街100號3樓,(02)23703739,1225
44,醫院,臺北市立聯合醫院中醫門診中心,臺北市萬華區昆明街100號8樓,(02)23887088,3515
45,醫院,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路2段606巷6號,(02)23059292,102
46,醫院,西園醫療社團法人西園醫院,臺北市萬華區西園路2段270號,(02)23076968,1127
47,醫院,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,(02)23717101,8181
